Table 4 
Previously Confirmed Very Low Mass Members in NGC 1333


IDs	alpha(J2000)	delta(J2000)	J^1	K^1	SpT ^2	T_eff^2	Other Names^3	
			(mag)	(mag)				
S-1	03 28 47.66	+31 21 54.6	17.55	15.24	M9.2^a	2600^a, 2800^b	MBO139	
S-2	03 28 54.92	+31 15 29.0	15.990	14.219	M7.9^a, M6.5^b, M8^d, M8.6^f	2850^a, 2600^b	ASR109, Sp 60	
S-3	03 28 55.24	+31 17 35.4	15.090	13.433	M7.9^c, M8.2^f	2900^b	ASR38	
S-4	03 28 56.50	+31 16 03.1	18.17	16.73	M9.6^f	2500^b		
S-5	03 28 56.94	+31 20 48.7	15.362	13.815	M7.6^a, M6^b, M6.8^c	2850^a, 2900^b	MBO91, Sp 66	
S-6	03 28 57.11	+31 19 12.0	17.24	15.34	M7.3^a, M8^b, M8.0^f	3250^a, 2700^b	MBO148, ASR64, Sp 23	
S-7	03 28 58.42	+31 22 56.7	15.399	13.685	M6.5^b, M7.1^c, M7.7^f	2800^b	MBO80, Sp 72	
S-8	03 29 03.39	+31 18 39.9	15.833	14.000	M8.2^a, M8.5^b, M7.4^c, M8.4^f	2850^a, 2600^b	MBO88, ASR63, Sp 80	
S-9	03 29 05.54	+31 10 14.2	17.072	15.667	M8^b, M8.6^f	2600^b		
S-10	03 29 05.66	+31 20 10.7	17.113	15.485		2500^b	MBO143, Sp 86	
S-11	03 29 07.17	+31 23 22.9	17.87	15.62	M9.2^f	(2600)^b	MBO141	
S-12	03 29 09.33	+31 21 04.2	16.416	13.150		(2500)^b	MBO70, Sp 93	
S-13	03 29 10.79	+31 22 30.1	14.896	12.928	M7.5^b, M7.4^c, M8.1^f	3000^b	MBO62	
S-14	03 29 14.43	+31 22 36.2	14.606	13.035	M7^b, M6.6^c, M7.7^f	2900^b	MBO66	
S-15	03 29 17.76	+31 19 48.1	14.803	12.988	M7.5^b, M6.5^c, M7.8^f	3000^b	MBO64, ASR80, Sp 112	
S-16	03 29 28.15	+31 16 28.5	13.054	12.091	M8.5^a, M7.5^b, M7.5^e, M9.1^f	2850^a, 2600^b, 2761^e	Sp 164	
S-17	03 29 33.87	+31 20 36.2	16.562	15.481	M7.5^a, M8^b, M8.7^f	2600^a, 2500^b	MBO140	
S-18	03 29 35.71	+31 21 08.5	18.50	16.94	M8.2^f	2500^b	Sp 129	
S-19	03 29 36.36	+31 17 49.8	17.91	16.38		2700^b		
S-21	03 28 47.34	+31 11 29.8	15.484	12.702		3100^b	ASR117	
								
ASR15	03 28 56.94	+31 15 50.3	15.056	13.461	M7.4^c, M6.0^d			
ASR17	03 28 57.15	+31 15 34.5	15.405	13.186	M7.4^c, M6.0^d		Sp 68	
MBO73	03 28 58.24	+31 22 09.3	16.004	13.367	M6.4^c		Sp 70	
ASR24	03 29 11.30	+31 17 17.5	13.977	12.915	M8.2^c, M8.0^d			
MBO69	03 29 24.45	+31 28 14.9	14.041	12.686	M7.0^a, M7.4^c	3200^a		
								
ASR29	03 29 13.61	+31 17 43.4	16.441	13.028	M5^d	3250^a		
ASR105	03 29 04.66	+31 16 59.1	15.550	12.665	M6^d		Sp 84	
ASR8	03 29 04.06	+31 17 07.5	13.310	12.313	M7^d			
MBO78	03 29 00.15	+31 21 09.2	16.466	13.349	M5^d		Sp 75	
								
Sp 45	03 28 43.55	+31 17 36.4	12.219	10.138	M5.0^e	3125^e	ASR127	
Sp 46	03 28 44.07	+31 20 52.8	14.245	12.627	M7.3^a, M7.5^e	3050^a, 2829^e		
Sp 49	03 28 47.82	+31 16 55.2	12.940	10.909	M8.0^e	2710^e	ASR111	
Sp 53	03 28 52.13	+31 15 47.1	13.161	12.029	M7.0^e	2846^e	ASR45	
Sp 55	03 28 52.90	+31 16 26.4	13.616	12.476	M5.0^e	3154^e	ASR46	
Sp 58	03 28 54.07	+31 16 54.3	13.027	11.599	M5.0^e	3098^e	ASR42	
Sp 94	03 29 09.48	+31 27 20.9	14.154	12.692	M5.0^e	3098^e	MBO60	
Sp 105	03 29 13.03	+31 17 38.3	15.231	14.158	M8.0^e	2710^e	ASR28	
Sp 131	03 29 37.73	+31 22 02.4	13.987	12.958	M7.6^a, M7.0^e	2850^a, 2891^e	MBO65	
Sp 157	03 29 12.79	+31 20 07.7	14.676	13.294	M7.6^a, M7.7^c, M7.5^e	2950^a, 2812^e	MBO75, ASR83	
Sp 177	03 29 24.83	+31 24 06.2	14.433	13.383	M6.5^a, M6.7^c, M6.5^e	3000^a, 2957^e	MBO77	
Sp 71	03 28 58.24	+31 22 02.1	14.912	12.406	M6^e	2990^e	MBO47	
Notes. The IDs SONYC-NGC 1333-X are abbreviated with S-X.
^1 Photometry from 2MASS (most objects) or SONYC (for SONYC-NGC 1333-1, 4, 6, 11, 18, 19).
^2 Spectral types or effective temperatures from the following references: (a) this paper; (b) Scholz et al. 2009a; (c) Wilking et al. 2004; (d) Greissl et al. 2007; (e) Winston et al. 2009; (f) HPI spectral types for spectra in Scholz et al. (2009a).
^3 Identifiers are from Aspin et al. (1994, ASR), Wilking et al. (2004, MBO), and the Spitzer survey by Gutermuth et al. (2008, Sp).
